Symbol,Rank,MTF,Quality Score,LTP,Stock Name,Sector,Intrinsic,Dividend%,Announced,Executed,Revenue,Net Profit,Recommended,Projected High,Projected Medium,Projected Low,All time high,SMA 200,RSI,Day Volatility,Week Volatility,Month Volatility,Day Trend,Week Trend,Month Trend,Day Support,Week Support,Month Support,Day NWE,Week NWE,Month NWE
AFCONS,395.0,5.0,,456.6,AFCONS INFRASTRUCTURE LTD,Industrials,143.03,,,,12764 cr,533 cr,strong_buy,585.0,537.0,475.0,570.0 => 20.0%,452.92 => 0.81%,64.18,2.49,4.8,11.38,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%,423.78 => 7.19%,0.0 => 100.0%,0.0 => 100.0%
TRITURBINE,396.0,5.0,,522.15,TRIVENI TURBINE LIMITED,Industrials,38.73,,,,1914 cr,342 cr,none,840.0,632.0,590.0,885.0 => 41.0%,596.94 => -14.32%,41.72,2.45,5.07,15.76,Downtrend,Downtrend,Downtrend,460.3 => 11.85%,460.3 => 11.85%,45.5 => 91.29%,475.53 => 8.93%,416.51 => 20.23%,440.33 => 15.67%
RBLBANK,397.0,5.0,,270.35,RBL BANK LIMITED,Financial Services,258.08,,,,7285 cr,580 cr,hold,305.0,260.0,140.0,716.4 => 62.0%,205.53 => 23.98%,55.09,2.54,5.54,10.34,Downtrend,Downtrend,Downtrend,146.1 => 45.96%,146.1 => 45.96%,74.15 => 72.57%,251.71 => 6.89%,213.83 => 20.91%,108.9 => 59.72%
CIEINDIA,398.0,5.0,,436.7,CIE AUTOMOTIVE INDIA LTD,Consumer Cyclical,182.4,,,,8886 cr,783 cr,none,574.0,503.0,400.0,622.4 => 30.0%,431.0 => 1.31%,66.04,3.56,5.13,11.8,Downtrend,Downtrend,Downtrend,356.75 => 18.31%,356.75 => 18.31%,163.95 => 62.46%,391.37 => 10.38%,346.27 => 20.71%,335.56 => 23.16%
LMW,399.0,5.0,,15496.0,LMW LIMITED,Industrials,2599.85,,,,3033 cr,103 cr,none,15668.0,11521.5,7375.0,19199.95 => 19.0%,15877.83 => -2.46%,60.12,2.63,5.29,12.28,Downtrend,Downtrend,Downtrend,13450.05 => 13.2%,13450.05 => 13.2%,2000.0 => 87.09%,13890.59 => 10.36%,13355.04 => 13.82%,12483.26 => 19.44%
ABLBL,400.0,1.0,,135.89,ADITYA BIRLA LIFES BRAN L,Consumer Cyclical,255306.0,,,,7886 cr,61 cr,none,186.0,170.0,138.0,175.0 => 22.0%,0.0 => 100.0%,40.3,3.14,7.48,0.0,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%
SYRMA,401.0,5.0,,858.4,SYRMA SGS TECHNOLOGY LTD,Technology,98.15,,,,3571 cr,200 cr,none,950.0,753.0,555.0,875.0 => 2.0%,579.55 => 32.48%,66.05,3.72,7.99,12.38,Downtrend,Downtrend,Downtrend,370.0 => 56.9%,370.0 => 56.9%,0.0 => 100.0%,741.04 => 13.67%,573.16 => 33.23%,0.0 => 100.0%
IRCON,402.0,5.0,,174.92,IRCON INTERNATIONAL LTD,Industrials,67.21,,,,10259 cr,668 cr,none,159.0,152.0,143.0,351.6 => 50.0%,182.09 => -4.1%,48.04,2.66,6.83,16.47,Downtrend,Downtrend,Downtrend,134.24 => 23.26%,134.24 => 23.26%,34.8 => 80.11%,157.22 => 10.12%,118.18 => 32.44%,0.0 => 100.0%
WHIRLPOOL,403.0,5.0,,1296.0,WHIRLPOOL OF INDIA LTD,Consumer Cyclical,311.48,,,,7855 cr,361 cr,buy,2100.0,1485.0,1100.0,2787.0 => 53.0%,1326.64 => -2.36%,40.24,2.72,5.17,13.2,Downtrend,Downtrend,Downtrend,899.0 => 30.63%,899.0 => 30.63%,1186.1 => 8.48%,1243.5 => 4.05%,862.9 => 33.42%,889.91 => 31.33%
JMFINANCIL,404.0,5.0,,171.24,JM FINANCIAL LIMITED,Financial Services,101.77,,,,3125 cr,1104 cr,none,0.0,0.0,0.0,199.8 => 14.0%,132.69 => 22.51%,43.18,3.06,10.87,13.29,Downtrend,Downtrend,Downtrend,80.2 => 53.17%,80.2 => 53.17%,69.0 => 59.71%,153.75 => 10.22%,133.81 => 21.86%,92.5 => 45.98%
