VPRPL,Support,1231,5.0,107.84,62.37,-47.64,-30.75,,4.04
ELECTHERM,Support,1222,1.0,1082.25,-124.63,9.45,37.78,95.27,4.85
BAJAJHCARE,Support,1232,5.0,423.65,147.63,-18.59,37.85,,3.38
FAZE3Q,Support,1245,1.0,526.85,172.78,-1.04,39.69,,6.01
CAPITALSFB,Support,1237,5.0,288.0,304.39,4.51,13.19,,1.81
AMNPLST,Support,1251,1.0,226.72,47.06,8.79,,,2.39
TBZ,Support,1248,1.0,188.01,98.31,3.08,17.03,91.25,2.74
DPSCLTD,Support,1250,1.0,12.81,9.04,8.82,28.96,28.96,3.17
DSSL,Support,1254,1.0,977.1,181.44,5.14,98.66,98.66,1.58
BUTTERFLY,Support,1252,5.0,697.6,181.93,0.82,21.06,88.1,1.44
GPTHEALTH,Support,1259,5.0,149.91,30.2,6.62,15.88,,2.32
CONTROLPR,Support,1263,5.0,763.4,257.92,8.3,50.88,80.99,2.02
TEXINFRA,Support,1265,1.0,95.1,129.58,5.36,10.25,50.0,2.32
BCLIND,Support,1268,1.0,40.84,27.05,2.67,15.52,,2.1
ICEMAKE,Support,1269,1.0,760.15,78.61,7.64,24.34,96.63,3.77
MANALIPETC,Support,1275,5.0,68.3,63.78,9.06,18.08,88.36,3.08
BHARATWIRE,Support,1278,1.0,168.72,107.72,2.2,27.55,93.9,2.37
5PAISA,Support,1281,1.0,366.6,193.09,-4.57,14.99,75.45,2.25
AYMSYNTEX,Support,1283,1.0,194.58,105.81,-0.86,13.56,93.24,3.82
LINCOLN,Support,1290,5.0,555.0,335.4,5.77,10.09,84.68,1.53
MATRIMONY,Support,1293,5.0,513.1,112.04,4.85,2.7,51.08,1.74
CENTENKA,Support,1291,5.0,508.0,648.75,5.51,25.64,81.4,1.87
TNPL,Support,1296,5.0,157.1,301.92,3.25,-27.31,44.94,1.82
AFSL,Support,1301,5.0,212.28,212.37,5.5,22.04,,3.05
CEWATER,Support,1297,5.0,524.45,250.36,5.59,,,2.96
RACLGEAR,Support,1304,1.0,908.05,210.21,2.48,,,3.26
UNIENTER,Support,1298,1.0,155.99,400.21,6.14,17.02,80.67,2.1
ANDHRSUGAR,Support,1309,5.0,77.05,116.48,4.22,-19.4,69.62,1.75
OMINFRAL,Support,1305,1.0,110.29,71.09,9.06,12.0,91.02,2.18
FAIRCHEMOR,Support,1306,5.0,810.85,231.96,7.26,-11.6,-11.6,2.44
INDOAMIN,Support,1310,5.0,143.71,44.94,7.08,26.94,,2.29
GKWLIMITED,Support,1318,1.0,1671.9,4307.26,5.36,15.07,70.98,2.78
XCHANGING,Support,1319,5.0,89.35,32.2,7.92,11.09,42.19,2.39
HEXATRADEX,Support,1322,1.0,178.56,812.37,2.55,21.85,21.85,3.94
JITFINFRA,Support,1332,1.0,369.7,-198.6,7.07,79.04,79.04,8.19
BARBEQUE,Support,1331,5.0,243.25,92.87,-1.36,-89.54,-143.37,2.95
LIKHITHA,Support,1330,1.0,241.19,94.56,0.95,0.95,4.58,1.96
NCLIND,Support,1329,5.0,210.83,183.19,1.82,14.62,74.77,1.7
CHEMFAB,Support,1338,1.0,647.4,264.55,-6.82,67.09,85.94,3.7
SANDESH,Support,1345,1.0,1199.3,1788.2,5.78,16.2,69.06,1.71
